PolicyNumber,CustomerID,Gender,Age,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,CoverageAmount,ClaimNumber,ClaimDate,ClaimAmount,ClaimStatus
P60,C60,Male,34,Travel,01-08-2023,01-08-2024,372.45,64006.79,C60,24-05-2024,4560.67,Settled
P61,C61,Female,43,Travel,23-01-2024,23-01-2025,1079.16,29211.02,C61,28-10-2024,4969.97,Pending
P62,C62,Male,72,Life,23-02-2024,23-02-2025,135.73,14183.35,C62,26-04-2024,1199.91,Pending
P63,C63,Female,61,Health,04-10-2023,04-10-2024,140.35,58738.55,C63,08-03-2024,4891.84,Pending
P64,C64,Male,67,Life,23-10-2023,23-10-2024,612.39,60424.28,C64,18-12-2023,841.1,Settled
P65,C65,Female,56,Travel,04-05-2024,04-05-2025,313.27,25847.39,C65,NULL,0,Rejected
P66,C66,Male,73,Auto,25-10-2023,25-10-2024,819.05,40131.07,C66,18-12-2023,1510.51,Settled
P67,C67,Female,21,Travel,03-02-2024,03-02-2025,250.78,39612.44,C67,03-04-2024,2490.02,Pending
P68,C68,Male,79,Travel,27-08-2023,27-08-2024,507,83101.15,C68,18-02-2024,4426.49,Settled
P69,C69,Female,74,Travel,18-10-2023,18-10-2024,606.66,40052.9,C69,NULL,0,Rejected
P70,C70,Male,32,Travel,24-12-2023,24-12-2024,961.31,59303.82,C70,07-10-2024,1654.34,Pending
P71,C71,Female,21,Travel,14-05-2024,14-05-2025,108.48,96741.14,C71,14-10-2024,2085.42,Settled
P72,C72,Male,26,Auto,30-11-2023,30-11-2024,699.15,28769.39,C72,NULL,0,Rejected
P73,C73,Female,36,Life,01-08-2023,01-08-2024,682.64,14068.92,C73,NULL,0,Rejected
P74,C74,Male,49,Travel,25-06-2024,25-06-2025,984.18,68195.68,C74,16-12-2024,5336.41,Settled
P75,C75,Female,77,Health,21-05-2024,21-05-2025,891.05,109235.65,C75,NULL,0,Rejected
P76,C76,Male,87,Auto,21-04-2024,21-04-2025,1093.73,87697.15,C76,09-12-2024,5311.26,Settled
P77,C77,Female,63,Life,05-01-2024,05-01-2025,1060.9,21693.43,C77,20-11-2024,3220.69,Settled
P78,C78,Male,73,Health,09-01-2024,09-01-2025,489.09,78229.65,C78,NULL,0,Rejected
P79,C79,Female,79,Home,28-07-2023,28-07-2024,341.79,15760.74,C79,09-12-2023,1260.61,Pending
P80,C80,Male,30,Home,04-10-2023,04-10-2024,992.95,41527.69,C80,16-03-2024,1939.62,Settled
P81,C81,Female,80,Home,04-02-2024,04-02-2025,766.08,20788.62,C81,NULL,0,Rejected
P82,C82,Male,67,Health,04-11-2023,04-11-2024,817.53,16513.9,C82,NULL,0,Rejected
P83,C83,Female,54,Travel,06-03-2024,06-03-2025,211.45,17186.98,C83,NULL,0,Rejected
P84,C84,Male,87,Home,30-12-2023,30-12-2024,1033.72,48521.83,C84,13-09-2024,5177.51,Pending
P85,C85,Female,87,Life,30-12-2023,30-12-2024,431.02,78784.03,C85,NULL,0,Rejected
P86,C86,Male,80,Travel,18-12-2023,18-12-2024,512.86,30521.28,C86,NULL,0,Rejected
P87,C87,Female,26,Travel,20-04-2024,20-04-2025,320.75,68479.16,C87,NULL,0,Rejected
P88,C88,Male,65,Travel,02-02-2024,02-02-2025,819.18,16388.7,C88,NULL,0,Rejected
P89,C89,Female,39,Health,21-07-2023,21-07-2024,1032.4,35345.99,C89,29-05-2024,1290.37,Settled
P90,C90,Male,59,Health,10-04-2024,10-04-2025,179.9,80004.2,C90,NULL,0,Rejected
P91,C91,Female,45,Travel,08-01-2024,08-01-2025,323.08,41790.05,C91,06-08-2024,5435.99,Settled
P92,C92,Male,81,Travel,08-08-2023,08-08-2024,879.2,14503.12,C92,16-04-2024,1087.85,Settled
P93,C93,Female,33,Travel,11-07-2024,11-07-2025,469.87,108672.1,C93,08-07-2025,1446.91,Settled
P94,C94,Male,84,Travel,18-04-2024,18-04-2025,338.49,85257.43,C94,19-06-2024,4205.15,Pending
P95,C95,Female,51,Auto,06-07-2024,06-07-2025,210.28,88039.39,C95,07-01-2025,3513.88,Settled
P96,C96,Male,27,Travel,24-02-2024,24-02-2025,999.59,71837.29,C96,NULL,0,Rejected
P97,C97,Female,38,Auto,02-02-2024,02-02-2025,818.6,17337.71,C97,02-07-2024,3281.67,Settled
P98,C98,Male,27,Travel,05-10-2023,05-10-2024,1079.03,66516.94,C98,NULL,0,Rejected
P99,C99,Female,84,Travel,08-03-2024,08-03-2025,219.92,51579.8,C99,29-01-2025,545.9,Pending
P100,C100,Male,23,Travel,06-12-2023,06-12-2024,690.52,87942.5,C100,19-04-2024,1956.89,Settled
P101,C101,Female,72,Health,15-06-2024,15-06-2025,545.35,33225.14,C101,NULL,0,Rejected
P102,C102,Male,22,Life,21-01-2024,21-01-2025,993.57,58213.06,C102,NULL,0,Rejected
P103,C103,Female,20,Travel,15-11-2023,15-11-2024,1038.13,26044.73,C103,13-06-2024,4263.3,Settled
P104,C104,Male,62,Travel,11-04-2024,11-04-2025,1013.12,51939.46,C104,08-06-2024,1924.97,Pending
P105,C105,Female,49,Travel,03-02-2024,03-02-2025,318.4,95106.67,C105,13-09-2024,4583.85,Settled
P106,C106,Male,20,Travel,29-11-2023,29-11-2024,319.44,59257.97,C106,07-06-2024,2274.47,Settled
P107,C107,Female,52,Travel,31-03-2024,31-03-2025,707.71,11793.97,C107,09-11-2024,4204.97,Settled
P108,C108,Male,24,Life,03-11-2023,03-11-2024,682.6,105880.81,C108,NULL,0,Rejected
P109,C109,Female,54,Travel,23-04-2024,23-04-2025,745.12,36118.22,C109,NULL,0,Rejected
P110,C110,Male,57,Travel,27-02-2024,27-02-2025,454.92,95786.09,C110,NULL,0,Rejected
P111,C111,Female,53,Travel,08-08-2023,08-08-2024,212.29,16904.47,C111,18-09-2023,4160.89,Settled
P112,C112,Male,76,Travel,26-08-2023,26-08-2024,373.43,102047.49,C112,02-08-2024,2161.71,Settled
P113,C113,Female,61,Travel,27-12-2023,27-12-2024,608.77,42064.73,C113,23-11-2024,1846.2,Settled
P114,C114,Male,63,Auto,02-09-2023,02-09-2024,630.96,76712.61,C114,NULL,0,Rejected
P115,C115,Female,68,Auto,22-04-2024,22-04-2025,128.26,39931.44,C115,NULL,0,Rejected
P116,C116,Male,19,Home,13-04-2024,13-04-2025,1035.74,51554.78,C116,29-08-2024,3241.24,Pending
P117,C117,Female,24,Auto,23-08-2023,23-08-2024,1051.66,95878.97,C117,06-01-2024,3063.1,Settled
P118,C118,Male,73,Auto,11-10-2023,11-10-2024,102.9,62629.86,C118,NULL,0,Rejected
P119,C119,Female,50,Travel,29-04-2024,29-04-2025,787.36,20132.11,C119,09-06-2024,1900.21,Settled
P120,C120,Male,83,Travel,19-02-2024,19-02-2025,677.19,77928.52,C120,24-11-2024,2540.38,Settled
P121,C121,Female,47,Travel,16-08-2023,16-08-2024,513.65,62854.24,C121,NULL,0,Rejected
P122,C122,Male,79,Home,02-07-2024,02-07-2025,480.72,104928.32,C122,15-06-2025,5375.82,Pending
P123,C123,Female,67,Life,05-07-2024,05-07-2025,568.77,34745.82,C123,NULL,0,Rejected
P124,C124,Male,84,Travel,05-11-2023,05-11-2024,742.37,86086.8,C124,04-04-2024,1445.87,Pending
P125,C125,Female,53,Travel,02-09-2023,02-09-2024,1069.33,46042.15,C125,NULL,0,Rejected
P126,C126,Male,60,Health,01-01-2024,01-01-2025,644.76,68028.82,C126,NULL,0,Rejected
P127,C127,Female,38,Travel,26-08-2023,26-08-2024,807.33,60691.71,C127,NULL,0,Rejected
P128,C128,Male,30,Travel,06-01-2024,06-01-2025,752.94,14696.66,C128,17-04-2024,1172.77,Settled
P129,C129,Female,33,Travel,16-02-2024,16-02-2025,337.94,72087.48,C129,31-03-2024,2749.9,Settled
P130,C130,Male,74,Auto,26-02-2024,26-02-2025,655.8,79741.01,C130,27-11-2024,1540.08,Settled
P131,C131,Female,66,Travel,28-06-2024,28-06-2025,948.49,29304.49,C131,NULL,0,Rejected
P132,C132,Male,27,Travel,21-03-2024,21-03-2025,624.74,19116.67,C132,NULL,0,Rejected
P133,C133,Female,78,Home,25-05-2024,25-05-2025,510.71,73146.65,C133,16-08-2024,628.45,Settled
P134,C134,Male,60,Travel,12-05-2024,12-05-2025,1005.78,103564.82,C134,30-07-2024,1429.5,Pending
P135,C135,Female,55,Travel,12-09-2023,12-09-2024,543.54,84297.7,C135,14-08-2024,3387.34,Settled
P136,C136,Male,84,Auto,19-11-2023,19-11-2024,816.38,29470.37,C136,12-08-2024,517.86,Pending
P137,C137,Female,18,Travel,06-01-2024,06-01-2025,996.89,100334.87,C137,NULL,0,Rejected
P138,C138,Male,76,Travel,13-04-2024,13-04-2025,456.5,92682.7,C138,NULL,0,Rejected
P139,C139,Female,53,Travel,23-12-2023,23-12-2024,963.41,16610.15,C139,NULL,0,Rejected
P140,C140,Male,73,Home,17-10-2023,17-10-2024,871.58,16414.19,C140,NULL,0,Rejected
P141,C141,Female,71,Auto,11-03-2024,11-03-2025,656.94,90394.59,C141,03-06-2024,3868.62,Settled
P142,C142,Male,36,Auto,07-05-2024,07-05-2025,995.69,27036.27,C142,03-12-2024,4196.03,Settled
P143,C143,Female,33,Health,05-10-2023,05-10-2024,709.53,54868.95,C143,14-07-2024,3819.21,Settled
P144,C144,Male,39,Life,23-08-2023,23-08-2024,231.46,46139.79,C144,NULL,0,Rejected
P145,C145,Female,39,Life,11-09-2023,11-09-2024,491.74,87837.1,C145,05-03-2024,4587.72,Pending
P146,C146,Male,64,Life,12-03-2024,12-03-2025,620.05,45537.84,C146,16-09-2024,2870.39,Settled
P147,C147,Female,58,Life,05-08-2023,05-08-2024,247.89,107425.82,C147,19-05-2024,2237.96,Settled
P148,C148,Male,42,Auto,29-04-2024,29-04-2025,1096.68,107188.79,C148,02-07-2024,4970.09,Settled
P149,C149,Female,73,Home,06-09-2023,06-09-2024,125,77491.38,C149,17-08-2024,4937.05,Settled
P150,C150,Male,45,Travel,10-10-2023,10-10-2024,292.72,52913.7,C150,01-03-2024,1692.49,Pending
P151,C151,Female,62,Auto,31-07-2023,31-07-2024,1046.04,93620.8,C151,NULL,0,Rejected
P152,C152,Male,86,Travel,24-03-2024,24-03-2025,209.47,106374.63,C152,NULL,0,Rejected
P153,C153,Female,46,Travel,15-07-2023,15-07-2024,758.07,67769.82,C153,NULL,0,Rejected
P154,C154,Male,63,Auto,17-02-2024,17-02-2025,307.56,11829.98,C154,10-10-2024,3574.59,Settled
P155,C155,Female,49,Auto,14-04-2024,14-04-2025,1011.56,26917.16,C155,28-05-2024,4888.93,Pending
P156,C156,Male,67,Life,14-03-2024,14-03-2025,483.59,104014.08,C156,16-02-2025,810.55,Pending
P157,C157,Female,69,Home,12-08-2023,12-08-2024,701.58,37273.84,C157,07-04-2024,2423.7,Settled
P158,C158,Male,74,Travel,10-12-2023,10-12-2024,612.95,81052.76,C158,NULL,0,Rejected
P159,C159,Female,41,Life,28-09-2023,28-09-2024,955.78,94092.91,C159,NULL,0,Rejected
P160,C160,Male,64,Auto,12-04-2024,12-04-2025,656.3,82841.07,C160,NULL,0,Rejected
P161,C161,Female,47,Health,19-03-2024,19-03-2025,906,62409.5,C161,01-07-2024,3155.3,Settled
P162,C162,Male,56,Travel,25-01-2024,25-01-2025,247.13,85614.42,C162,22-09-2024,3616.63,Settled
P163,C163,Female,47,Auto,21-02-2024,21-02-2025,401.74,27351.93,C163,NULL,0,Rejected
P164,C164,Male,68,Travel,04-01-2024,04-01-2025,351.91,102985.02,C164,NULL,0,Rejected
P165,C165,Female,72,Auto,09-08-2023,09-08-2024,1094.29,10759.75,C165,NULL,0,Rejected
P166,C166,Male,37,Travel,16-07-2023,16-07-2024,261.82,77166.01,C166,NULL,0,Rejected
P167,C167,Female,83,Home,26-10-2023,26-10-2024,144.73,35081.06,C167,10-10-2024,4793.76,Pending
P168,C168,Male,29,Travel,23-12-2023,23-12-2024,970.85,104570.62,C168,20-02-2024,3937.79,Settled
P169,C169,Female,80,Auto,15-12-2023,15-12-2024,278.73,73776,C169,NULL,0,Rejected
P170,C170,Male,34,Travel,01-01-2024,01-01-2025,565.37,106330.63,C170,11-02-2024,1174.38,Settled
P171,C171,Female,58,Auto,29-09-2023,29-09-2024,390.91,24716.57,C171,24-04-2024,2726.32,Pending
P172,C172,Male,79,Home,04-08-2023,04-08-2024,549.13,54783.55,C172,NULL,0,Rejected
P173,C173,Female,76,Travel,30-10-2023,30-10-2024,1019.95,54027.23,C173,NULL,0,Rejected
P174,C174,Male,70,Health,27-04-2024,27-04-2025,412.79,107808.12,C174,30-12-2024,4111.4,Settled
P175,C175,Female,22,Home,14-07-2023,14-07-2024,115.65,27272.72,C175,01-02-2024,2646.33,Pending
P176,C176,Male,63,Travel,23-12-2023,23-12-2024,794.44,97129.56,C176,NULL,0,Rejected
P177,C177,Female,43,Life,21-07-2023,21-07-2024,1046.98,91588.84,C177,NULL,0,Rejected
P178,C178,Male,65,Travel,01-10-2023,01-10-2024,442.81,104450.93,C178,28-02-2024,5331.12,Settled
P179,C179,Female,41,Home,07-07-2024,07-07-2025,429.02,65560.24,C179,24-10-2024,4220.82,Settled
P180,C180,Male,59,Auto,20-09-2023,20-09-2024,899.47,36900.29,C180,08-08-2024,4069.36,Settled
P181,C181,Female,83,Life,07-09-2023,07-09-2024,1016.65,92039.93,C181,NULL,0,Rejected
P182,C182,Male,21,Travel,17-08-2023,17-08-2024,772.71,71543.75,C182,16-08-2024,4242.84,Settled
P183,C183,Female,54,Travel,12-07-2024,12-07-2025,670.32,56804.46,C183,NULL,0,Rejected
P184,C184,Male,36,Travel,04-01-2024,04-01-2025,683.98,23310.15,C184,02-05-2024,2845.61,Settled
P185,C185,Female,63,Health,20-03-2024,20-03-2025,366,83909.39,C185,08-05-2024,1463.01,Settled
P186,C186,Male,60,Home,22-01-2024,22-01-2025,816.14,104542.11,C186,NULL,0,Rejected
P187,C187,Female,57,Auto,10-01-2024,10-01-2025,297.98,52548.12,C187,NULL,0,Rejected
P188,C188,Male,44,Home,08-10-2023,08-10-2024,140.45,41470.95,C188,NULL,0,Rejected
P189,C189,Female,33,Auto,08-01-2024,08-01-2025,473.9,35471.06,C189,NULL,0,Rejected
P190,C190,Male,81,Auto,30-11-2023,30-11-2024,1094.39,50918.56,C190,11-04-2024,2292.48,Settled
P191,C191,Female,24,Auto,23-07-2023,23-07-2024,281.62,48845.28,C191,27-05-2024,1303.89,Pending
P192,C192,Male,85,Travel,26-02-2024,26-02-2025,174.77,65636.39,C192,NULL,0,Rejected
P193,C193,Female,66,Travel,23-01-2024,23-01-2025,634.69,19000.78,C193,NULL,0,Rejected
P194,C194,Male,47,Home,11-11-2023,11-11-2024,721.72,47423.73,C194,01-01-2024,4212.84,Pending
P195,C195,Female,68,Health,06-01-2024,06-01-2025,928.2,77198.05,C195,19-08-2024,5315.89,Settled
P196,C196,Male,40,Travel,18-09-2023,18-09-2024,465.43,15218.81,C196,08-09-2024,5455.77,Settled
P197,C197,Female,20,Health,09-01-2024,09-01-2025,919.23,45988.2,C197,05-11-2024,1499.61,Settled
P198,C198,Male,80,Travel,09-09-2023,09-09-2024,598.37,68668.32,C198,NULL,0,Rejected
P199,C199,Female,58,Travel,27-02-2024,27-02-2025,716.34,64285.65,C199,NULL,0,Rejected
P200,C200,Male,58,Travel,26-04-2024,26-04-2025,617.12,55113.62,C200,NULL,0,Rejected
P201,C201,Female,68,Travel,04-01-2024,04-01-2025,1091.23,67215.64,C201,21-04-2024,3999.5,Settled
P202,C202,Male,37,Health,17-06-2024,17-06-2025,472.33,11121.06,C202,02-01-2025,4256.49,Pending
P203,C203,Female,19,Health,18-09-2023,18-09-2024,448.13,75658.49,C203,NULL,0,Rejected
P204,C204,Male,38,Auto,13-09-2023,13-09-2024,591.35,10518.13,C204,09-08-2024,2995.8,Settled
P205,C205,Female,52,Home,18-07-2023,18-07-2024,518.47,85502.84,C205,29-10-2023,2388.84,Pending
P206,C206,Male,85,Travel,09-02-2024,09-02-2025,647.06,100342.44,C206,NULL,0,Rejected
P207,C207,Female,83,Auto,14-01-2024,14-01-2025,818.74,19771.3,C207,16-07-2024,4732.27,Pending
P208,C208,Male,74,Travel,08-11-2023,08-11-2024,122.19,91324.43,C208,01-08-2024,5473.7,Pending
P209,C209,Female,44,Travel,03-07-2024,03-07-2025,439.54,13027.79,C209,01-05-2025,5208.63,Pending
P210,C210,Male,19,Life,19-07-2023,19-07-2024,246.35,86154.94,C210,NULL,0,Rejected
P211,C211,Female,50,Home,17-10-2023,17-10-2024,966.29,45817.49,C211,NULL,0,Rejected
P212,C212,Male,34,Auto,14-04-2024,14-04-2025,310.53,30845.27,C212,NULL,0,Rejected
P213,C213,Female,85,Health,15-01-2024,15-01-2025,736.35,12002.74,C213,25-01-2024,3704.31,Settled
P214,C214,Male,75,Home,09-10-2023,09-10-2024,298.24,79351.98,C214,NULL,0,Rejected
P215,C215,Female,52,Travel,07-02-2024,07-02-2025,652,33071.95,C215,30-05-2024,3279.72,Settled
P216,C216,Male,75,Auto,18-06-2024,18-06-2025,131.74,24172.52,C216,13-03-2025,4237.73,Pending
P217,C217,Female,36,Health,05-07-2024,05-07-2025,589.25,42070.88,C217,NULL,0,Rejected
P218,C218,Male,50,Life,04-09-2023,04-09-2024,291.88,100561.71,C218,23-12-2023,2478.13,Settled
P219,C219,Female,35,Life,24-11-2023,24-11-2024,263.82,94462.5,C219,NULL,0,Rejected
P220,C220,Male,76,Auto,02-08-2023,02-08-2024,161.61,93941.38,C220,16-03-2024,4151.82,Settled
P221,C221,Female,51,Auto,27-01-2024,27-01-2025,181.83,84789.26,C221,NULL,0,Rejected
P222,C222,Male,70,Health,12-04-2024,12-04-2025,222.84,91529.68,C222,08-04-2025,4288.56,Pending
P223,C223,Female,31,Home,21-10-2023,21-10-2024,631.73,74872.59,C223,NULL,0,Rejected
P224,C224,Male,52,Health,20-11-2023,20-11-2024,245.17,41295.31,C224,NULL,0,Rejected
P225,C225,Female,21,Travel,12-09-2023,12-09-2024,839.93,56387.64,C225,12-11-2023,4640.57,Pending
P226,C226,Male,43,Life,03-08-2023,03-08-2024,835.64,74581.69,C226,08-10-2023,3012.33,Pending
P227,C227,Female,23,Travel,12-05-2024,12-05-2025,233.99,63099.17,C227,NULL,0,Rejected
P228,C228,Male,73,Health,01-06-2024,01-06-2025,722.64,49207.66,C228,NULL,0,Rejected
P229,C229,Female,45,Health,18-01-2024,18-01-2025,421.43,15288.68,C229,28-06-2024,527.82,Settled
P230,C230,Male,45,Auto,04-08-2023,04-08-2024,519.52,12165.33,C230,NULL,0,Rejected
P231,C231,Female,75,Health,15-11-2023,15-11-2024,212.95,32078.57,C231,18-01-2024,3940.02,Pending
P232,C232,Male,57,Travel,28-05-2024,28-05-2025,206.31,66064.18,C232,NULL,0,Rejected
P233,C233,Female,52,Travel,01-11-2023,01-11-2024,871.13,49238.47,C233,13-10-2024,885.77,Settled
P234,C234,Male,74,Travel,18-10-2023,18-10-2024,232.6,12262,C234,NULL,0,Rejected
P235,C235,Female,59,Home,10-08-2023,10-08-2024,263.47,26251.44,C235,19-01-2024,4797.8,Settled
P236,C236,Male,57,Health,23-04-2024,23-04-2025,105.68,72813.44,C236,02-05-2024,5098.3,Pending
P237,C237,Female,27,Auto,10-07-2024,10-07-2025,251.7,51872.64,C237,NULL,0,Rejected
P238,C238,Male,50,Life,30-10-2023,30-10-2024,1099.5,34858.88,C238,NULL,0,Rejected
P239,C239,Female,76,Travel,10-11-2023,10-11-2024,1005.35,83505.22,C239,NULL,0,Rejected
P240,C240,Male,72,Health,27-10-2023,27-10-2024,864.75,82583.22,C240,NULL,0,Rejected
P241,C241,Female,28,Auto,26-11-2023,26-11-2024,483.94,49874.01,C241,27-01-2024,2005.53,Settled
P242,C242,Male,58,Home,18-06-2024,18-06-2025,386.96,105551.2,C242,17-10-2024,3238.56,Settled
P243,C243,Female,43,Travel,27-03-2024,27-03-2025,426.66,13755.23,C243,24-01-2025,3004.77,Pending
P244,C244,Male,43,Life,14-02-2024,14-02-2025,769.98,41608.53,C244,NULL,0,Rejected
P245,C245,Female,38,Health,31-05-2024,31-05-2025,619.64,90666.7,C245,NULL,0,Rejected
P246,C246,Male,45,Auto,19-06-2024,19-06-2025,1006.56,85819.01,C246,24-08-2024,3079.7,Pending
P247,C247,Female,52,Home,19-01-2024,19-01-2025,425.07,61379.78,C247,17-07-2024,3907.25,Settled
P248,C248,Male,38,Travel,15-07-2023,15-07-2024,134.52,87867.12,C248,NULL,0,Rejected
P249,C249,Female,28,Travel,06-06-2024,06-06-2025,517.62,25202.83,C249,NULL,0,Rejected
P250,C250,Male,33,Travel,13-04-2024,13-04-2025,223.26,40522.95,C250,08-07-2024,2723.54,Pending
P251,C251,Female,57,Travel,28-07-2023,28-07-2024,801.08,13847.85,C251,23-11-2023,3097.36,Settled
P252,C252,Male,44,Travel,02-07-2024,02-07-2025,294.3,31357.61,C252,31-07-2024,2017.12,Settled
P253,C253,Female,70,Travel,06-01-2024,06-01-2025,524.18,62223.77,C253,NULL,0,Rejected
